
23:00:53 --> -2411.46, -2468.75, -2578.13, -2604.17, -2687.50, -2770.83, -2697.92, -2614.58, -2562.50, -2692.71, -2479.17, -1786.46, -1614.58, -1588.54, -1786.46, -1588.54, -1604.17, -1578.13, -1739.58, -2078.13, -2026.04, -2239.58, -2484.38, -2453.13, -2463.54, -2187.50, -2442.71, -2348.96, -2026.04, -2151.04, -1911.46, -2020.83, -2307.29, -2656.25, -2750.00, -2421.88, -2223.96, -1921.88, -1718.75, -1520.83, -1234.38, -1416.67, -1442.71, -1333.33, -1286.46, -1343.75, -1453.13, -1260.42, -1369.79, -1411.46, -1307.29, -1390.63, -1484.38, -1453.13, -1770.83, -1859.38, -2104.17, -2192.71, -2291.67, 

23:01:54 --> -2177.08, -1854.17, -1786.46, -1770.83, -1723.96, -1833.33, -1750.00, -1937.50, -1791.67, -1822.92, -1968.75, -1984.38, -2244.79, -1802.08, -1723.96, -1734.38, -1848.96, -1692.71, -1734.38, -1682.29, -1750.00, -1713.54, -1677.08, -1666.67, -1666.67, -1692.71, -1677.08, -1713.54, -1546.88, -1651.04, -1781.25, -1666.67, -1666.67, -1687.50, -1677.08, -1515.63, -1557.29, -1630.21, -1770.83, -1645.83, -1692.71, -1651.04, -1765.63, -1838.54, -2130.21, -1973.96, -1968.75, -1828.13, -1718.75, -1546.88, -1651.04, -1468.75, -1619.79, -1562.50, -1781.25, -1880.21, -2072.92, -1921.88, -1677.08, 

23:02:55 --> -1104.17, -1031.25, -1098.96, -1229.17, -1229.17, -1515.63, -1781.25, -1854.17, -1630.21, -1572.92, -1484.38, -1536.46, -1734.38, -1791.67, -2020.83, -1807.29, -1651.04, -1276.04, -1213.54, -1041.67, -1119.79, -932.29, -1218.75, -1489.58, -1718.75, -1864.58, -1942.71, -1942.71, -1937.50, -2291.67, -1817.71, -1854.17, -1750.00, -1812.50, -1677.08, -1901.04, -1739.58, -1557.29, -1557.29, -1677.08, -1656.25, -1901.04, -1677.08, -1921.88, -1921.88, -1500.00, -1406.25, -1359.38, -1270.83, -1682.29, -1333.33, -1489.58, -1192.71, -1526.04, -1630.21, -1864.58, -1843.75, -1541.67, -1052.08, 

23:03:56 --> -1473.96, -1750.00, -1786.46, -1645.83, -1348.96, -1463.54, -1500.00, -1744.79, -1921.88, -1765.63, -1364.58, -1104.17, -927.08, -1000.00, -1015.62, -1036.46, -1781.25, -1750.00, -1885.42, -1932.29, -2031.25, -1562.50, -1765.63, -1776.04, -1833.33, -1854.17, -1671.88, -1692.71, -1817.71, -1656.25, -1734.38, -1619.79, -1520.83, -1421.88, -1291.67, -1187.50, -1083.33, -989.58, -958.33, -927.08, -895.83, -1036.46, -953.12, -932.29, -869.79, -1062.50, -1036.46, -1109.38, -1135.42, -1187.50, -1796.88, -1687.50, -1645.83, -1885.42, -1885.42, -1343.75, -1281.25, -1270.83, -1244.79, 

23:04:57 --> -1286.46, -1338.54, -1453.13, -1531.25, -1614.58, -1588.54, -1723.96, -1630.21, -1458.33, -1281.25, -1072.92, -1062.50, -958.33, -869.79, -848.96, -812.50, -1041.67, -1630.21, -1593.75, -1848.96, -1489.58, -1348.96, -1203.13, -1312.50, -1265.63, -1223.96, -1380.21, -1572.92, -1692.71, -1656.25, -1427.08, -1041.67, -953.12, -885.42, -817.71, -1197.92, -1515.63, -1713.54, -1354.17, -1239.58, -1229.17, -1567.71, -1406.25, -1234.38, -916.67, -958.33, -791.67, -786.46, -1510.42, -1598.96, -1630.21, -1458.33, -1385.42, -1166.67, -1286.46, -1208.33, -1187.50, -1203.13, -1270.83, 

